user,stripe_customer_id,one_click_purchasing
roldham0,6956aske,False
cgillopp1,5324fko2,True
smacgiolla2,83271zna,False
escarrott3,42602kdq,True
davison4,828577he,True
mstanborough5,8106qgdw,False
mhuman6,35068zct,False
lgarrie7,3054l005,False
corrocks8,9956zq3n,False
gerbain9,5406ucko,True
acurnokka,93925nms,True
mivashkinb,36164tl7,True
zparagreenc,65397ap9,True
zpallyd,61619s6g,True
svearncombee,2269y5lg,True
efootef,4026bfjq,False
jheersemag,2820dwf4,True
mreinerh,8248zak1,False
frulei,7024988r,True
kseatterj,90034xng,True
